data,hora,evento,local
17 de fevereiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
18 de fevereiro de 2016,11:00,"O Presidente da República recebe, em audiência, o Representante da República para a Região Autónoma dos Açores, Embaixador Pedro Catarino",""
18 de fevereiro de 2016,11:30,"O Presidente da República recebe, em audiência, a Direção do Instituto para a Promoção e Desenvolvimento da América Latina (IPDAL)",""
18 de fevereiro de 2016,15:30,"O Presidente da República condecora um grupo de personalidades da Academia e da Cultura, bem como a Casa do Artista.

Serão agraciados (com indicação do grau e da Ordem):

- Prof. Doutor Michel Renaud, Professor Catedrático e Membro do Conselho Nacional de Ética para as Ciências da Vida – Comendador da Ordem de Sant’Iago da Espada 
- Prof. Doutor Alberto Duarte Carvalho, Professor Catedrático – Grande-Oficial da Ordem do Infante D. Henrique 
- Prof. Doutor António Costa de Albuquerque de Sousa Lara, Professor Catedrático – Grande-Oficial da Ordem do Infante D. Henrique 
- Prof. Doutor Miguel Telles Antunes, Professor Catedrático e Paleontologista – Grande-Oficial da Ordem do Infante D. Henrique 
- Jorge Fernando da Silva Nunes, Músico e Compositor – Comendador da Ordem do Infante D. Henrique 
- Dr. Nuno de Assis Simões da Costa Rogeiro, Docente Universitário, Jornalista e Comentador – Comendador da Ordem do Infante D. Henrique
- Dr. José Luiz Carvalho Cardoso, Fundador da AESE Business School (Associação de Estudos Superiores de Empresa) – Comendador da Ordem da Instrução Pública
- Casa do Artista (Associação de Apoio aos Artistas, IPSS) – Membro Honorário da Ordem do Mérito",""
18 de fevereiro de 2016,17:00,"O Presidente da República recebe, em audiência, o Primeiro-Ministro de Cabo Verde, Dr. José Maria Neves",""
19 de fevereiro de 2016,12:00,"O Presidente da República recebe, em audiência, o Chefe do Estado-Maior da Força Aérea, General José Araújo Pinheiro",""
24 de fevereiro de 2016,12:00,"O Presidente da República confere posse ao Chefe do Estado-Maior da Força Aérea, Tenente-General Piloto-Aviador Manuel Teixeira Rolo",""
24 de fevereiro de 2016,15:00,O Presidente da República visita a sede da Associação dos Deficientes das Forças Armadas,""
24 de fevereiro de 2016,17:00,"O Presidente da República recebe, em audiência, a direção da Associação Empresários pela Inclusão Social (EPIS)",""
25 de fevereiro de 2016,12:30,"O Presidente da República recebe, em audiência, o Presidente da Assembleia Legislativa Regional da Madeira, Dr. José Tranquada Gomes",""
25 de fevereiro de 2016,15:00,"O Presidente da República condecora, com a Grã-Cruz da Ordem do Infante D. Henrique, o Representante da República para a Região Autónoma da Madeira, Conselheiro Ireneu Cabral Barreto",""
25 de fevereiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
26 de fevereiro de 2016,12:00,"O Presidente da República condecora, com vários graus das Ordens Honoríficas, um grupo de gestores e empresários.

Serão agraciadas as seguintes personalidades:

- António Manuel Frade Saraiva
- Prof. Doutor João Bento
- Eng. João Manuel Resende Picoito
- Dr. António Raposo de Lima
- Adelino Silva Martins
- José Ricardo Lopes Abrantes
- Dr. Alberto Manuel Coutinho Henriques",""
29 de fevereiro de 2016,11:00,"O Presidente da República condecora o antigo Chefe do Estado-Maior da Força Aérea, General José Araújo Pinheiro, e o Presidente da Direção Central da Liga dos Combatentes, Tenente-General Joaquim Chito Rodrigues",""
2 de março de 2016,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal:,""
2 de março de 2016,10:00,"Embaixador da Geórgia, Revaz Beshidze",""
2 de março de 2016,10:25,"Embaixadora do Paquistão, Senhora Zehra H. Akbari",""
2 de março de 2016,10:50,"Embaixador da Moldova, Dumitru Socolan",""
2 de março de 2016,11:15,"Embaixadora do Peru, Senhora Glória Lissette Nalvarte Simoni de Isasi",""
2 de março de 2016,18:00,"O Presidente da República agracia, com graus da Ordem do Infante D. Henrique, o Chefe e o Subchefe do Protocolo do Estado, respetivamente Embaixador António Almeida Lima e Dr. Jorge Silva Lopes",""
3 de março de 2016,11:00,"O Presidente da República preside à reunião do Conselho de Ministros dedicada ao Mar, a convite do Primeiro-Ministro
","Forte de S. Julião da Barra, Avenida Marginal, Oeiras"
4 de março de 2016,11:30,"O Presidente da República recebe, em audiência, a Ministra dos Negócios Estrangeiros da Colômbia, María Ángela Holguín",""
7 de março de 2016,11:30,"O Presidente da República desloca-se à Câmara Municipal de Cascais para presidir a uma sessão solene durante a qual lhe será atribuída a Chave da Vila e o título de Cidadão Honorário do Município.

O Presidente da República proferirá uma intervenção",""
9 de março de 2016,09:30,"O Presidente da República recebe Honras Militares, a cargo do Esquadrão Presidencial da Guarda Nacional Republicana, antes de deixar o Palácio de Belém a caminho da Assembleia da República, a fim de participar na cerimónia de Tomada de Posse do Presidente Marcelo Rebelo de Sousa.

","Palácio de Belém, Pátio dos Bichos"
9 de março de 2016,09:45,"Chegada do Presidente da República ao Palácio de S. Bento

- Honras Militares

Sessão Solene de Tomada de Posse do Presidente da República Marcelo Rebelo de Sousa",""
