data,hora,evento,local
13 de março de 2018,11:00,"Cerimónia de deposição de uma coroa de flores no Monumento ao Soldado Desconhecido
",Praça Syntagma
13 de março de 2018,11:15,"Cerimónia oficial de boas-vindas no Palácio Presidencial
- Honras militares: Saudação às bandeiras, hinos e revista à guarda de honra
- Apresentação das delegações",""
13 de março de 2018,11:30,"Encontro a sós entre o Presidente da República Helénica, Prokopios Pavlopoulos, e o Presidente da República
",Gabinete do Presidente da República
13 de março de 2018,11:45,Encontro entre o Presidente da República Helénica e o Presidente da República alargado às respetivas comitivas,""
13 de março de 2018,13:00,"Encontro entre o Primeiro-ministro da República Helénica, Alexis Tsipras, e o Presidente da República
",Maximos Mansion
13 de março de 2018,13:40,"Encontro entre o Presidente do Parlamento da República Helénica, Nikos Voutsis, e o Presidente da República
",Parlamento Helénico
13 de março de 2018,14:20,Almoço oferecido pelo Presidente da República Helénica em honra do Presidente da República,""
13 de março de 2018,17:00,"Cerimónia de Doutoramento “Honoris Causa” pela Universidade de Atenas com a presença do Presidente da República Helénica
",Universidade de Atenas
13 de março de 2018,20:30,"Jantar oficial oferecido pelo Presidente da República Helénica em honra do Presidente da República
",Palácio Presidencial
14 de março de 2018,"","Visita de Estado do Presidente da República à República Helénica
 
12 a 14 de março de 2018",""
14 de março de 2018,11:00,Visita ao campo de refugiados da Organização Internacional para as Migrações em Tebas (IOM Thiva Open Accommodation Center),""
14 de março de 2018,13:30,"Almoço na Residência oficial do Embaixador de Portugal em Atenas com um conjunto de personalidades da sociedade civil grega com ligações a Portugal, oriundas do mundo académico e cultural",""
14 de março de 2018,15:20,Visita ao JRS (Jesuit Refugee Service/Serviço Jesuíta aos Refugiados) de apoio social a refugiados e encontro com voluntários portugueses,""
14 de março de 2018,16:30,"Debate aberto sobre “As raízes e o futuro da Europa” promovido pela EPLO (European Public Law Organization) com a presença do Presidente da República Helénica
",Palácio Presidencial
15 de março de 2018,14:00,"Audiência ao Grande Imã da Mesquita de al-Azhar, Sheikh Ahmed Mohamed el-Tayeb",""
15 de março de 2018,18:00,"Inauguração da Exposição “Um Museu do Outro Mundo” com obras de José de Guimarães
","Museu do Oriente, Lisboa "
16 de março de 2018,14:30,Audiência à Nova Direção Política do CDS - Partido Popular (CDS-PP) ,""
16 de março de 2018,16:00,"Encontros de Reflexão Comemorativos dos 50 anos da Fundação da Comunidade Islâmica de Lisboa “CIL” (1968-2018) 
",Mesquita Central de Lisboa
19 de março de 2018,20:00,"Gala Quinas de Ouro
","Pavilhão Carlos Lopes, Lisboa"
20 de março de 2018,10:30,"Sessão de Abertura da 1ª Cimeira das Áreas Metropolitanas de Lisboa e Porto
 ","Sala da Música Palácio Nacional de Queluz
"
20 de março de 2018,22:00,"Gala da Sociedade Portuguesa de Autores
",Centro Cultural de Belém 
21 de março de 2018,15:00,"Reunião do Conselho Superior de Defesa Nacional
",Palácio de Belém
21 de março de 2018,19:00,"Sessão de Encerramento do debate sobre a Estratégia Nacional de Combate à Pobreza e Exclusão Social
",Fundação Calouste Gulbenkian
24 de março de 2018,"",Ação de Limpeza Florestal: Trabalhos de gestão de combustível e conservação de habitats naturais,""
24 de março de 2018,11:30,Parque Nacional Peneda-Gerês - Portela do Homem,""
24 de março de 2018,15:00,Regimento de Infantaria N.º 14 - Viseu,""
